TRAINING-MSE AND VALIDATION-MSE EVERY 200 ITERATIONS (NOT LEARNING CYCLES)

USING OPTIMAL DATA MODEL 7

Training-MSE: 0.59891, Validation-MSE: 0.62355
Training-MSE: 0.04776, Validation-MSE: 0.05037
Training-MSE: 0.02887, Validation-MSE: 0.02851
Training-MSE: 0.02635, Validation-MSE: 0.02626
Training-MSE: 0.02137, Validation-MSE: 0.02107
Training-MSE: 0.02079, Validation-MSE: 0.01996
Training-MSE: 0.01907, Validation-MSE: 0.01851
Training-MSE: 0.02092, Validation-MSE: 0.02031
Training-MSE: 0.01756, Validation-MSE: 0.01655
Training-MSE: 0.01889, Validation-MSE: 0.018
Training-MSE: 0.01727, Validation-MSE: 0.01606
Training-MSE: 0.01661, Validation-MSE: 0.01548
Training-MSE: 0.01563, Validation-MSE: 0.01412
Training-MSE: 0.01524, Validation-MSE: 0.01351
Training-MSE: 0.01681, Validation-MSE: 0.01528
Training-MSE: 0.02019, Validation-MSE: 0.01882
Training-MSE: 0.01473, Validation-MSE: 0.01324
Training-MSE: 0.0196, Validation-MSE: 0.01844
Training-MSE: 0.0139, Validation-MSE: 0.01257
Training-MSE: 0.01317, Validation-MSE: 0.01178
Training-MSE: 0.01418, Validation-MSE: 0.01291
Training-MSE: 0.01286, Validation-MSE: 0.01157
Training-MSE: 0.0125, Validation-MSE: 0.01091
Training-MSE: 0.013, Validation-MSE: 0.01155
Training-MSE: 0.01341, Validation-MSE: 0.01193
Training-MSE: 0.01188, Validation-MSE: 0.01055
Training-MSE: 0.01171, Validation-MSE: 0.01006
Training-MSE: 0.01222, Validation-MSE: 0.01054
Training-MSE: 0.0122, Validation-MSE: 0.01087
Training-MSE: 0.01146, Validation-MSE: 0.00986
Training-MSE: 0.01203, Validation-MSE: 0.01037
Training-MSE: 0.01222, Validation-MSE: 0.01071
Training-MSE: 0.01183, Validation-MSE: 0.01009
Training-MSE: 0.01163, Validation-MSE: 0.01032
Training-MSE: 0.01144, Validation-MSE: 0.00938
Training-MSE: 0.01111, Validation-MSE: 0.00946
Training-MSE: 0.01155, Validation-MSE: 0.01009
Training-MSE: 0.01098, Validation-MSE: 0.00928
Training-MSE: 0.01194, Validation-MSE: 0.01008
Training-MSE: 0.01205, Validation-MSE: 0.01019
Training-MSE: 0.01152, Validation-MSE: 0.01017
Training-MSE: 0.01083, Validation-MSE: 0.00913
Training-MSE: 0.01125, Validation-MSE: 0.00918
Training-MSE: 0.01242, Validation-MSE: 0.01088
Training-MSE: 0.01321, Validation-MSE: 0.01183
Training-MSE: 0.01072, Validation-MSE: 0.00937
Training-MSE: 0.0163, Validation-MSE: 0.01559
Training-MSE: 0.01101, Validation-MSE: 0.0099
Training-MSE: 0.01048, Validation-MSE: 0.00941
Training-MSE: 0.01189, Validation-MSE: 0.01055
Training-MSE: 0.01068, Validation-MSE: 0.00964
Training-MSE: 0.01047, Validation-MSE: 0.00888
Training-MSE: 0.01139, Validation-MSE: 0.01021
Training-MSE: 0.01144, Validation-MSE: 0.00998
Training-MSE: 0.01059, Validation-MSE: 0.00958
Training-MSE: 0.01024, Validation-MSE: 0.00896
Training-MSE: 0.01059, Validation-MSE: 0.00893
Training-MSE: 0.01074, Validation-MSE: 0.00969
Training-MSE: 0.01013, Validation-MSE: 0.00883
Training-MSE: 0.01048, Validation-MSE: 0.00918
Training-MSE: 0.01106, Validation-MSE: 0.01007
Training-MSE: 0.0103, Validation-MSE: 0.00891
Training-MSE: 0.01055, Validation-MSE: 0.00967
Training-MSE: 0.0105, Validation-MSE: 0.00874
Training-MSE: 0.01029, Validation-MSE: 0.00873
Training-MSE: 0.01057, Validation-MSE: 0.00939
Training-MSE: 0.0102, Validation-MSE: 0.00871
Training-MSE: 0.01103, Validation-MSE: 0.00917
Training-MSE: 0.01126, Validation-MSE: 0.00953
Training-MSE: 0.01061, Validation-MSE: 0.00947
Training-MSE: 0.01012, Validation-MSE: 0.00869
Training-MSE: 0.01062, Validation-MSE: 0.00864
Training-MSE: 0.01172, Validation-MSE: 0.01038
Training-MSE: 0.01181, Validation-MSE: 0.0107
Training-MSE: 0.01019, Validation-MSE: 0.00906
Training-MSE: 0.01567, Validation-MSE: 0.01526
Training-MSE: 0.01059, Validation-MSE: 0.00972
Training-MSE: 0.01006, Validation-MSE: 0.00924
Training-MSE: 0.01165, Validation-MSE: 0.01039
Training-MSE: 0.0103, Validation-MSE: 0.00947
Training-MSE: 0.01018, Validation-MSE: 0.00867
Training-MSE: 0.0113, Validation-MSE: 0.0103
Training-MSE: 0.01082, Validation-MSE: 0.00947
Training-MSE: 0.01058, Validation-MSE: 0.00975
Training-MSE: 0.01007, Validation-MSE: 0.009
Training-MSE: 0.01029, Validation-MSE: 0.00867
Training-MSE: 0.01048, Validation-MSE: 0.00957
Training-MSE: 0.00985, Validation-MSE: 0.0087
Training-MSE: 0.01013, Validation-MSE: 0.00902
Training-MSE: 0.01088, Validation-MSE: 0.01014
Training-MSE: 0.00995, Validation-MSE: 0.00875
Training-MSE: 0.01029, Validation-MSE: 0.00961
Training-MSE: 0.01034, Validation-MSE: 0.00873
Training-MSE: 0.01014, Validation-MSE: 0.00864
Training-MSE: 0.01039, Validation-MSE: 0.00933
Training-MSE: 0.01004, Validation-MSE: 0.00866
Training-MSE: 0.01081, Validation-MSE: 0.00896
Training-MSE: 0.01109, Validation-MSE: 0.00943
Training-MSE: 0.01032, Validation-MSE: 0.00924
Training-MSE: 0.00996, Validation-MSE: 0.00865
Training-MSE: 0.01046, Validation-MSE: 0.00852
Training-MSE: 0.01161, Validation-MSE: 0.01035
Training-MSE: 0.01135, Validation-MSE: 0.01036
Training-MSE: 0.01008, Validation-MSE: 0.00904
Training-MSE: 0.0155, Validation-MSE: 0.0152
Training-MSE: 0.01047, Validation-MSE: 0.00971
Training-MSE: 0.00994, Validation-MSE: 0.00921
Training-MSE: 0.01165, Validation-MSE: 0.01042
Training-MSE: 0.01017, Validation-MSE: 0.00941
Training-MSE: 0.01012, Validation-MSE: 0.00864
Training-MSE: 0.01136, Validation-MSE: 0.01043
Training-MSE: 0.01053, Validation-MSE: 0.00922
Training-MSE: 0.01065, Validation-MSE: 0.00989
Training-MSE: 0.01008, Validation-MSE: 0.00909
Training-MSE: 0.01022, Validation-MSE: 0.00861
Training-MSE: 0.01042, Validation-MSE: 0.00958
Training-MSE: 0.00976, Validation-MSE: 0.00866
Training-MSE: 0.01001, Validation-MSE: 0.00897
Training-MSE: 0.01083, Validation-MSE: 0.01018
Training-MSE: 0.00983, Validation-MSE: 0.0087
Training-MSE: 0.01019, Validation-MSE: 0.00959
Training-MSE: 0.0103, Validation-MSE: 0.00875
Training-MSE: 0.0101, Validation-MSE: 0.00863
Training-MSE: 0.01035, Validation-MSE: 0.00933
Training-MSE: 0.00999, Validation-MSE: 0.00867
Training-MSE: 0.01072, Validation-MSE: 0.00888
Training-MSE: 0.01105, Validation-MSE: 0.00942
Training-MSE: 0.01017, Validation-MSE: 0.00912
Training-MSE: 0.00992, Validation-MSE: 0.00866
Training-MSE: 0.0104, Validation-MSE: 0.00847
Training-MSE: 0.01161, Validation-MSE: 0.01039
Training-MSE: 0.01115, Validation-MSE: 0.0102
Training-MSE: 0.01006, Validation-MSE: 0.00905
Training-MSE: 0.01544, Validation-MSE: 0.01519
Training-MSE: 0.01043, Validation-MSE: 0.00969
Training-MSE: 0.00989, Validation-MSE: 0.00919
Training-MSE: 0.01167, Validation-MSE: 0.01044
Training-MSE: 0.0101, Validation-MSE: 0.00937
Training-MSE: 0.01011, Validation-MSE: 0.00863
Training-MSE: 0.01141, Validation-MSE: 0.01051
Training-MSE: 0.01035, Validation-MSE: 0.00908
Training-MSE: 0.0107, Validation-MSE: 0.00997
Training-MSE: 0.01011, Validation-MSE: 0.00916
Training-MSE: 0.01021, Validation-MSE: 0.0086
Training-MSE: 0.01041, Validation-MSE: 0.0096
Training-MSE: 0.00974, Validation-MSE: 0.00864
Training-MSE: 0.00995, Validation-MSE: 0.00895
Training-MSE: 0.0108, Validation-MSE: 0.0102
Training-MSE: 0.00978, Validation-MSE: 0.00868
Training-MSE: 0.01015, Validation-MSE: 0.00957
Training-MSE: 0.01028, Validation-MSE: 0.00876
Training-MSE: 0.01008, Validation-MSE: 0.00862
Training-MSE: 0.01035, Validation-MSE: 0.00934
Training-MSE: 0.00998, Validation-MSE: 0.00867
Training-MSE: 0.01068, Validation-MSE: 0.00883
Training-MSE: 0.01104, Validation-MSE: 0.00943
Training-MSE: 0.01009, Validation-MSE: 0.00904
Training-MSE: 0.00992, Validation-MSE: 0.00868
Training-MSE: 0.01037, Validation-MSE: 0.00844
Training-MSE: 0.01164, Validation-MSE: 0.01044
Training-MSE: 0.01104, Validation-MSE: 0.01011
Training-MSE: 0.01006, Validation-MSE: 0.00907
Training-MSE: 0.01542, Validation-MSE: 0.01518
Training-MSE: 0.0104, Validation-MSE: 0.00968
Training-MSE: 0.00986, Validation-MSE: 0.00918
